Country,Insertion Order ID,Line Item,Line Item Start,Line Item End,Campaign,Campaign ID,Flight,Flight ID,Creative,Creative ID,Country,Line Item ID,Impressions
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 |Now Streaming | 02/08 - 03/07 Halo 109976,316174,Australia,120995,507858
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 |Now Streaming | 02/08 - 03/07 Halo 109976,316174,,120995,821
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 |Thursday | 02/02 - 02/07 Halo 109976,316173,Australia,120995,173811
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 |Thursday | 02/02 - 02/07 Halo 109976,316173,,120995,293
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Dated | 02/01 Halo 109976,316414,Australia,120995,7878
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Dated | 02/01 Halo 109976,316414,,120995,13
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Now Streaming | 02/08 - 03/07 Halo 109976,316416,Australia,120995,186083
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Now Streaming | 02/08 - 03/07 Halo 109976,316416,,120995,372
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Thursday | 02/02 - 02/07 Halo 109976,316415,Australia,120995,71801
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FSM_22-23_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430895,FSM_22-23-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Thursday | 02/02 - 02/07 Halo 109976,316415,,120995,148
